cell,score,n_rows,n_flips,flip_rate_pct
51,7,308,217,70.455
31,7,714,319,44.678
57,7,443,195,44.018
20,3,146,53,36.301
53,7,654,236,36.086
18,3,154,42,27.273
48,4,119,32,26.891
26,4,204,54,26.471
58,6,290,75,25.862
49,6,349,89,25.501
62,7,728,170,23.352
55,8,668,142,21.257
28,4,165,35,21.212
24,3,100,21,21.0
59,8,637,97,15.228
60,6,363,50,13.774
50,5,113,15,13.274
22,4,393,47,11.959
17,4,200,23,11.5
34,3,6165,601,9.749
40,3,4874,403,8.268
30,5,461,38,8.243
54,6,485,39,8.041
27,6,579,45,7.772
36,3,6332,470,7.423
29,6,796,58,7.286
61,8,1375,91,6.618
19,5,253,16,6.324
9,3,14339,792,5.523
56,5,110,6,5.455
23,6,997,49,4.915
25,5,211,10,4.739
44,4,8071,381,4.721
43,6,9093,418,4.597
3,3,26378,1107,4.197
42,4,7340,287,3.91
14,3,16224,621,3.828
52,5,233,8,3.433
39,6,15784,460,2.914
5,3,27445,789,2.875
21,5,629,18,2.862
16,2,175,5,2.857
45,6,9680,266,2.748
13,4,21049,400,1.9
47,7,12179,223,1.831
11,4,19503,113,0.579
38,4,14680,82,0.559
32,2,11661,57,0.489
10,2,23198,84,0.362
46,5,9107,29,0.318
6,2,31607,100,0.316
15,5,25114,69,0.275
33,4,9293,23,0.247
1,2,33110,81,0.245
37,5,17053,34,0.199
12,2,22469,38,0.169
41,5,11872,15,0.126
7,4,36820,43,0.117
35,5,14047,16,0.114
63,9,3237,2,0.062
2,1,38993,3,0.008
8,1,30389,2,0.007
4,1,46075,0,0.0
0,0,33767,0,0.0
